cod_ibge,an_referencia,total
3121100,,1628119469.8900065
3121209,,1393755212.4600003
3121258,,3326107000.039999
3121308,,1552785997.2199993
3121407,,1371317721.8000014
3121506,,854978332.8999995
3121605,,5953637726.250002
3121704,,1473476943.6799996
3121803,,2113329346.4099998
3121902,,504977517.03999996
3122009,,4111979058.009996
3122108,,1084933503.9099987
3122207,,1148655308.6900024
3122306,,26253407660.27
3122355,,2151511140.340003
3122405,,1325585557.1099997
3122454,,2853972368.580003
3122470,,806861824.3000004
3122504,,2073155403.5699983
3122603,,1053099877.2800007
3122702,,1615355838.110003
3122801,,441740460.0
3122900,,655343302.3999997
3123007,,2130914153.4600155
3123106,,1270439324.6400008
3123205,,1687852338.8699992
3123304,,770187775.4400002
3123403,,887496056.0699993
3123502,,1499143444.230003
3123528,,1551084481.0199916
3123601,,5291536794.890005
3123700,,2142321479.4599934
3123809,,2008893260.110001
3123858,,2167651402.6599984
3123908,,2806757488.549999
3124005,,4560825742.869995
3124104,,7381528925.590021
3124203,,3922241943.9399996
3124302,,6206535085.370003
3124401,,1325544398.9600005
3124500,,1978925862.6700006
3124609,,452944870.4000006
3124708,,587901346.4499997
3124807,,1958535516.2100008
3124906,,922187935.3400005
3125002,,546318677.8000005
3125101,,17596211136.829956
3125200,,1273753360.2100005
3125309,,824972386.9499996
3125408,,2070089798.639999
3125507,,1566815764.5200012
3125606,,977413635.3399998
3125705,,2731117764.749995
3125804,,1254417927.5800023
3125903,,1448296212.1600015
3125952,,1078181861.250001
3126000,,2048276813.409997
3126109,,6686621275.249988
3126208,,1505217243.6599984
3126307,,2664235648.1799994
3126406,,948922154.2300017
3126505,,1183137533.8300004
3126604,,2063487754.889994
3126703,,5737015272.700002
3126752,,865921663.0399995
3126802,,1272487011.600001
3126901,,3167609054.929994
3126950,,1517927095.430002
3127008,,3531328083.26
3127057,,1114450572.4199982
3127073,,1975576741.5599997
3127107,,13766561552.109987
3127206,,1197452620.5699973
3127305,,1326155324.7999983
3127339,,1772871302.6799989
3127354,,1482617824.240002
3127370,,969785271.0200027
3127388,,470071408.9099998
3127404,,1136609978.1599994
3127503,,1192315967.3800006
3127602,,2564118284.8099995
3127701,,73859414076.82
3127800,,4369017119.369999
3127909,,1299515300.2200027
3128006,,5913010702.510019
3128105,,1977665138.8299985
3128204,,2787002169.510004
3128253,,1658141614.0699992
3128303,,1974837181.309998
3128402,,951571960.4799987
3128501,,575218673.1500007
3128600,,2383780643.4400043
3128709,,6761491519.079996
3128808,,1308014818.8400002
3128907,,2774615653.7999997
3129004,,1736607219.1699994
