,cod_ibge,subfuncao,an_referencia,total,total_percent
2805,3109105,606,,27938374.400000002,0.009385332350249315
2806,3101003,364,,160640.0,5.716849569123025e-05
2807,3145307,999,,7392227.619999999,0.0011551154816073547
2808,3127388,243,,1111294.9999999998,0.0023640982602555374
2809,3101409,541,,1074800.0,0.0008602169875760899
2810,3148202,062,,6458126.680000001,0.00821139026603703
2811,3124005,304,,4707958.809999999,0.001032260181691883
2812,3106804,695,,969940.0,0.0017486637761821374
2813,3134004,843,,8271976.140000001,0.002509424664508722
2814,3139607,361,,225257260.45,0.07228777143538878
2815,3146305,999,,15727290.0,0.005326948145101572
2816,3104908,272,,55513494.239999995,0.03286984058600137
2817,3162401,812,,10836828.879999999,0.004201977775973881
2818,3120706,391,,307168.54000000004,0.00031085320619755744
2819,3111705,512,,1670500.0,0.0027364048593056245
2820,3119708,361,,40258340.54999999,0.026493798457426186
2821,3121803,031,,11504800.0,0.005443921942192153
2822,3164407,367,,0.0,0.0
2823,3100302,812,,5837998.93,0.0025338554231011065
2824,3133006,306,,3766297.6000000006,0.0015949439874682215
2825,3117836,304,,4821995.95,0.0032213483021478325
2826,3101805,392,,6612622.699999999,0.005014864204526744
2827,3141801,302,,111512478.58999977,0.020240065367337388
2828,3105509,605,,32803.28,3.887010339542204e-05
2829,3139250,608,,1496000.0,0.000748159495873379
2830,3133501,181,,5387536.339999996,0.0012841134334352813
2831,3101904,812,,13966419.879999999,0.0033660532574325704
2832,3162500,031,,68143903.32,0.0039099436933073455
2833,3104502,304,,1028535.1599999999,0.00023897643974414999
2834,3102308,361,,80904379.79999998,0.02479245467606599
2835,3120706,181,,927.36,9.384842253030431e-07
2836,3130705,366,,686400.0,0.00020339583393829387
2837,3160504,541,,191000.0,0.000194736609637188
2838,3121001,123,,5910811.16,0.003046642063506165
2839,3114808,362,,29600.0,5.2562022045053265e-05
2840,3111705,361,,33545541.039999995,0.05495012362160565
2841,3145406,031,,10368009.759999998,0.022445671094230936
2842,3107901,242,,264000.0,0.00010409090733617448
2843,3130408,695,,3924800.0,0.003305417241879192
2844,3131703,182,,5393697.800000001,0.00027112716448451636
2845,3161106,812,,14295843.040000001,0.0035328905138940206
2846,3162203,181,,2645966.4999999995,0.0008195118128873624
2847,3139805,031,,19186000.0,0.022321960144403397
2848,3117306,305,,6667679.8,0.0008455863980242403
2849,3129202,999,,2000000.0,0.0012052737578453164
2850,3138609,122,,150927806.27999997,0.11293302140854969
2851,3143450,606,,4793502.2,0.0022112120610948654
2852,3129509,124,,1027147.8999999999,0.00027971675512593504
2853,3121704,367,,337500.0,0.00022905007197268783
2854,3147709,122,,61056883.870000035,0.02738387476764327
2855,3110400,843,,5538971.84,0.0066008868784621436
2856,3104502,609,,110092.0,2.557947965951204e-05
2857,3132503,752,,19861663.199999996,0.002625419206304937
2858,3136520,123,,5713586.829999997,0.004116341473763333
2859,3140159,181,,2754803.08,0.004297434537040269
2860,3139102,244,,9378114.63,0.015308218815532897
2861,3159001,031,,11847324.0,0.006283274154243453
2862,3146552,,,1795078527.260001,0.8345920117590535
2863,3122306,121,,3959527.76,0.00015081957402398704
2864,3159209,241,,646248.0,0.00032974368436211284
2865,3129707,123,,3002053.5599999996,0.000858332344023838
2866,3105905,541,,19476793.409999996,0.005014428227053841
2867,3129103,391,,511743.08,0.0004177489684519598
2868,3121100,305,,477966.0,0.0002935693656634981
2869,3140852,062,,8171343.750000001,0.004822311789387745
2870,3103801,304,,683788.48,0.0004799129262927722
2871,3125507,153,,263178.0,0.00016796997193899526
2872,3164100,481,,1050000.0,0.0006315428785547861
2873,3133303,241,,198000.0,7.419658191746702e-05
2874,3105905,304,,2787538.2199999997,0.0007176700004007189
2875,3118106,365,,5477824.49,0.005934240920571056
2876,3132305,511,,1333012.96,0.0006481020010782505
2877,3145208,542,,7747851.76,0.0006168802567982065
2878,3128006,241,,1211650.0,0.00020491253288035916
2879,3123304,243,,1300101.3599999999,0.001688031674168375
2880,3138203,605,,8556183.039999997,0.0008743198118658816
2881,3162005,361,,155871984.16000006,0.036761955441033334
2882,3143609,304,,2471029.0,0.0014587784383663413
2883,3147907,303,,23286821.459999993,0.0018702796953932715
2884,3144300,999,,8835365.0,0.0015529758603604065
2885,3128907,361,,102183505.84000003,0.03682798577887849
2886,3136009,302,,118171343.25999996,0.048422153006585415
2887,3106002,999,,4795851.5,0.0027111790200669765
2888,3115805,305,,7658242.0,0.0023816402146685793
2889,3139904,272,,10511782.68,0.01010318730974448
2890,3162559,303,,7602741.43,0.0025799728044403644
2891,3164472,304,,3620723.039999999,0.0014428699892206607
2892,3106200,846,,3107150577.299999,0.007158313677971593
2893,3116159,512,,10050005.48,0.0026550231599703346
2894,3117876,782,,6998960.66,0.0022814479138974103
2895,3123858,,,1796725084.78,0.8288810103761046
2896,3122504,482,,198000.0,9.550658848779094e-05
2897,3112059,123,,3001274.4000000004,0.0021750572851045266
